 Strategy Type:	MIXEDSTRATEGY  NashValue:	0.0  e_NashValue for twoConsecutiveAvgCompletionTime :	0.5 Total Number of players =	50
Total Iterations =	100
3	[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31]
4	[78, 78, 72, 78, 81, 78, 72, 77, 78, 72, 76, 78, 78, 78, 78, 78, 76, 72, 72, 74, 78, 78, 78, 72, 78, 78, 78, 78, 78, 79, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 74, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 74, 80, 78, 78, 80, 80, 80, 80, 74, 74, 61, 80, 79, 80, 83, 80, 80, 77, 77, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 74, 74, 78, 74, 80, 79, 80, 80, 80, 80, 80, 80, 61]
5	[42, 39, 48, 40, 40, 40, 45, 45, 51, 40, 42, 42, 39, 39, 38, 37, 42, 42, 42, 39, 42, 42, 42, 38, 38, 38, 39, 42, 53, 38, 42, 42, 42, 37, 40, 38, 38, 38, 40, 37, 40, 40, 38, 38, 38, 40, 38, 38, 38, 40, 40, 40, 40, 40, 43, 38, 39, 40, 38, 38, 40, 45, 45, 40, 38, 38, 38, 38, 38, 43, 38, 40, 44, 38, 38, 38, 38, 40, 40, 38, 40, 37, 40, 38, 39, 40, 38, 44, 40, 40, 38, 40, 40, 37, 40, 38, 39, 38, 40, 38]
6	[66, 66, 66, 65, 65, 65, 68, 68, 68, 71, 70, 69, 70, 70, 69, 70, 70, 70, 69, 70, 70, 70, 69, 70, 70, 70, 70, 69, 71, 72, 71, 72, 72, 71, 72, 71, 72, 72, 72, 71, 72, 72, 72, 71, 72, 72, 71, 72, 72, 72, 71, 72, 72, 71, 72, 71, 72, 72, 71, 72, 72, 72, 72, 72, 72, 72, 72, 71, 72, 72, 72, 71, 72, 71, 72, 72, 72, 72, 71, 72, 72, 71, 72, 71, 72, 71, 72, 72, 72, 71, 72, 72, 71, 72, 72, 72, 71, 72, 72, 72]
7	[49, 41, 43, 49, 49, 49, 52, 52, 46, 42, 44, 44, 46, 46, 40, 40, 44, 44, 44, 64, 44, 44, 44, 40, 40, 40, 44, 44, 60, 45, 44, 46, 44, 44, 44, 40, 40, 40, 44, 44, 47, 54, 60, 40, 40, 44, 40, 44, 40, 47, 44, 44, 47, 47, 41, 40, 44, 47, 44, 47, 44, 47, 47, 44, 60, 40, 40, 40, 40, 41, 44, 44, 44, 60, 40, 40, 40, 44, 44, 40, 47, 44, 47, 40, 44, 44, 40, 46, 44, 44, 44, 47, 44, 44, 44, 40, 44, 44, 47, 60]
8	[23, 23, 23, 23, 23, 23, 23, 23, 19, 23, 19, 19, 19, 23, 19, 23, 23, 19, 19, 23, 19, 23, 19, 23, 23, 23, 19, 19, 23, 19, 19, 23, 23, 23, 19, 23, 23, 23, 19, 23, 19, 23, 23, 23, 23, 19, 23, 23, 23, 19, 23, 19, 23, 19, 19, 23, 23, 19, 23, 23, 23, 23, 23, 19, 23, 23, 23, 19, 23, 19, 23, 19, 19, 23, 23, 19, 23, 19, 19, 23, 23, 23, 19, 23, 19, 19, 23, 23, 19, 23, 23, 19, 23, 23, 19, 23, 19, 23, 19, 23]
9	[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]
10	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
11	[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 43, 42, 42, 42, 42, 42, 44, 42, 42, 42, 43, 43, 42, 42, 42, 42, 42, 42, 42, 42, 42, 44, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42]
12	[41, 42, 43, 43, 43, 43, 43, 43, 40, 43, 41, 44, 41, 44, 41, 44, 44, 41, 41, 44, 41, 44, 41, 44, 44, 44, 41, 41, 44, 41, 41, 44, 44, 44, 41, 44, 44, 44, 41, 44, 41, 44, 44, 44, 44, 41, 44, 44, 44, 41, 44, 41, 44, 41, 41, 44, 44, 41, 45, 45, 45, 45, 45, 42, 45, 45, 45, 42, 45, 42, 45, 42, 42, 45, 45, 42, 45, 42, 42, 45, 45, 45, 42, 45, 42, 42, 45, 45, 42, 45, 45, 42, 45, 45, 42, 45, 42, 45, 42, 45]
13	[62, 62, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 61, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 72, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 72]
14	[69, 69, 74, 70, 75, 70, 74, 69, 70, 74, 70, 70, 70, 70, 70, 70, 70, 74, 74, 76, 70, 70, 70, 74, 70, 70, 70, 70, 70, 71, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 76, 72, 72, 72, 72, 72, 72, 72, 72, 72, 74, 72, 72, 72, 76, 72, 72, 80, 72, 72, 72, 72, 76, 76, 77, 72, 71, 72, 77, 72, 72, 71, 71, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 76, 76, 72, 76, 72, 71, 72, 72, 72, 72, 72, 72, 77]
15	[54, 54, 54, 54, 54, 54, 57, 57, 57, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59]
16	[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]
17	[21, 29, 18, 15, 27, 15, 15, 18, 20, 23, 16, 15, 15, 15, 17, 17, 15, 17, 15, 25, 21, 26, 20, 27, 15, 15, 16, 20, 25, 16, 18, 27, 15, 19, 16, 16, 16, 16, 15, 16, 20, 27, 33, 19, 18, 15, 19, 15, 15, 15, 18, 20, 23, 20, 16, 16, 16, 20, 15, 25, 18, 18, 18, 15, 31, 32, 32, 19, 28, 20, 25, 20, 17, 17, 19, 18, 18, 15, 17, 17, 15, 19, 20, 23, 16, 17, 21, 17, 17, 15, 27, 20, 15, 15, 18, 18, 15, 15, 20, 20]
18	[72, 72, 76, 72, 72, 72, 76, 71, 72, 76, 77, 72, 72, 72, 72, 72, 77, 76, 76, 68, 72, 72, 72, 76, 72, 72, 72, 72, 72, 73, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 57, 74, 74, 74, 74, 74, 74, 74, 74, 74, 71, 74, 74, 74, 78, 74, 79, 70, 74, 74, 74, 74, 61, 61, 74, 74, 73, 74, 74, 74, 74, 61, 61, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 78, 78, 79, 61, 74, 73, 74, 74, 74, 74, 74, 74, 74]
19	[46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]
20	[23, 23, 20, 20, 24, 23, 19, 22, 16, 28, 17, 18, 17, 21, 20, 19, 17, 24, 19, 19, 25, 29, 17, 28, 20, 21, 17, 17, 21, 17, 16, 26, 22, 24, 23, 21, 22, 22, 17, 21, 17, 30, 29, 18, 18, 20, 21, 23, 26, 15, 21, 22, 30, 17, 25, 22, 20, 25, 23, 25, 20, 22, 22, 20, 30, 30, 30, 17, 25, 17, 21, 17, 22, 26, 30, 21, 20, 18, 16, 19, 19, 20, 17, 17, 17, 16, 23, 19, 17, 23, 26, 17, 19, 17, 20, 20, 19, 22, 17, 25]
21	[46, 44, 41, 45, 45, 46, 42, 35, 34, 45, 42, 36, 36, 40, 42, 40, 40, 40, 42, 46, 36, 40, 35, 46, 42, 46, 36, 38, 40, 40, 35, 39, 40, 40, 36, 46, 46, 42, 38, 40, 38, 38, 38, 42, 39, 42, 46, 36, 40, 36, 36, 40, 40, 39, 42, 46, 40, 40, 40, 38, 38, 47, 47, 37, 38, 38, 37, 37, 40, 34, 40, 39, 36, 39, 48, 36, 40, 37, 37, 41, 36, 39, 38, 39, 36, 38, 36, 36, 40, 40, 34, 34, 36, 35, 36, 40, 37, 39, 36, 36]
22	[15, 16, 9, 9, 13, 15, 9, 9, 9, 14, 9, 9, 11, 11, 9, 11, 9, 9, 15, 18, 9, 19, 9, 14, 9, 16, 9, 9, 9, 9, 15, 15, 9, 9, 9, 13, 14, 14, 9, 10, 9, 19, 18, 10, 15, 9, 10, 10, 14, 9, 13, 9, 9, 9, 9, 13, 12, 9, 10, 10, 9, 14, 14, 9, 19, 19, 19, 9, 14, 9, 9, 9, 9, 10, 19, 9, 14, 9, 9, 14, 13, 14, 9, 10, 9, 14, 10, 9, 9, 10, 18, 9, 18, 9, 9, 14, 9, 14, 9, 14]
23	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
24	[39, 39, 37, 37, 37, 38, 45, 45, 45, 37, 37, 38, 37, 37, 38, 37, 40, 40, 37, 37, 40, 40, 40, 38, 38, 38, 37, 40, 47, 37, 37, 37, 37, 37, 37, 37, 37, 37, 40, 37, 40, 40, 37, 38, 37, 37, 37, 37, 37, 37, 37, 40, 37, 40, 37, 37, 37, 40, 38, 38, 37, 37, 37, 37, 37, 37, 37, 38, 37, 40, 37, 40, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 40, 38, 37, 37, 38, 41, 40, 39, 37, 40, 38, 37, 37, 37, 37, 37, 40, 37]
25	[67, 67, 67, 67, 67, 67, 70, 70, 70, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 72, 71, 71, 71, 71, 71, 71, 71, 71, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]
26	[22, 22, 17, 20, 21, 20, 21, 22, 21, 27, 16, 17, 15, 21, 16, 17, 16, 21, 16, 21, 21, 31, 16, 26, 16, 26, 15, 17, 17, 21, 16, 26, 17, 23, 21, 21, 21, 25, 16, 17, 21, 32, 29, 16, 24, 17, 18, 16, 20, 15, 17, 16, 21, 21, 15, 19, 20, 21, 16, 21, 17, 22, 22, 15, 30, 31, 28, 16, 17, 21, 21, 16, 20, 31, 31, 17, 21, 13, 16, 20, 20, 27, 21, 21, 16, 20, 20, 16, 16, 17, 26, 21, 16, 16, 22, 21, 17, 17, 21, 22]
27	[48, 48, 48, 48, 48, 48, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53]
28	[35, 35, 38, 35, 35, 35, 38, 35, 38, 38, 35, 38, 31, 35, 35, 38, 35, 38, 38, 38, 38, 43, 38, 38, 35, 35, 31, 38, 37, 38, 38, 39, 35, 39, 38, 35, 40, 40, 38, 35, 38, 44, 43, 38, 35, 38, 35, 38, 38, 31, 35, 38, 40, 38, 31, 35, 38, 38, 35, 47, 38, 38, 38, 31, 53, 53, 53, 38, 38, 31, 42, 38, 35, 38, 38, 38, 38, 31, 38, 38, 38, 38, 38, 35, 31, 39, 38, 38, 38, 35, 44, 38, 38, 35, 38, 38, 35, 35, 38, 44]
29	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
30	[65, 65, 69, 69, 69, 69, 70, 69, 69, 70, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71]
31	[52, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54]
32	[43, 50, 43, 39, 39, 34, 34, 34, 34, 39, 39, 34, 44, 46, 34, 40, 36, 34, 41, 44, 34, 34, 34, 34, 34, 34, 44, 34, 49, 39, 39, 39, 39, 44, 39, 39, 39, 39, 36, 40, 34, 34, 39, 34, 39, 41, 39, 39, 39, 39, 39, 36, 41, 34, 39, 39, 42, 34, 34, 34, 39, 39, 39, 41, 39, 39, 39, 34, 39, 34, 39, 34, 40, 39, 39, 39, 39, 41, 39, 39, 39, 42, 34, 34, 42, 41, 34, 45, 34, 41, 39, 34, 34, 42, 39, 39, 42, 39, 34, 39]
33	[41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41]
34	[14, 19, 12, 12, 16, 13, 11, 20, 11, 20, 11, 13, 11, 14, 12, 14, 12, 11, 11, 21, 11, 22, 11, 20, 12, 19, 12, 11, 12, 11, 11, 18, 12, 12, 11, 16, 16, 16, 11, 13, 11, 22, 21, 13, 18, 12, 13, 13, 15, 11, 16, 11, 12, 11, 11, 16, 16, 11, 11, 13, 12, 15, 15, 11, 22, 22, 22, 11, 17, 11, 12, 11, 11, 18, 22, 12, 15, 11, 12, 16, 11, 17, 11, 13, 11, 11, 13, 12, 11, 18, 18, 11, 11, 11, 12, 17, 11, 15, 11, 16]
35	[11, 11, 11, 7, 11, 7, 11, 11, 11, 11, 11, 7, 11, 11, 11, 7, 11, 11, 11, 11, 11, 11, 11, 11, 7, 11, 11, 7, 11, 11, 11, 11, 7, 11, 11, 7, 11, 11, 11, 7, 11, 11, 11, 7, 11, 7, 11, 11, 11, 11, 7, 11, 11, 11, 7, 11, 7, 11, 7, 11, 11, 11, 11, 11, 11, 11, 11, 11, 7, 11, 11, 11, 7, 11, 11, 7, 11, 11, 11, 11, 7, 11, 11, 7, 11, 7, 11, 11, 11, 7, 11, 11, 7, 11, 11, 11, 7, 11, 11, 11]
36	[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 28, 32, 27, 27, 27, 27, 27, 27, 27, 27, 27, 29, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 30, 27, 27, 27, 27, 27, 29, 27, 27, 27, 33, 27, 27, 27, 27, 30, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 29, 27, 27, 27, 27, 27, 33, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 28, 28]
37	[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]
38	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
39	[46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]
40	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
41	[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]
42	[50, 47, 50, 50, 47, 50, 50, 51, 48, 48, 50, 50, 47, 50, 50, 50, 50, 47, 50, 47, 47, 50, 51, 48, 50, 47, 47, 47, 50, 47, 49, 52, 50, 50, 47, 50, 50, 50, 47, 50, 47, 50, 52, 50, 52, 50, 50, 50, 47, 47, 50, 47, 50, 48, 47, 50, 50, 47, 50, 47, 50, 51, 51, 47, 56, 59, 56, 47, 51, 48, 48, 47, 48, 51, 52, 51, 51, 47, 50, 50, 51, 51, 48, 50, 48, 47, 51, 51, 48, 51, 48, 48, 51, 51, 48, 51, 47, 50, 48, 48]
